agent_id,meme_id,reshared_by_agent,timestep
39.0,3,49.0,1
3.0,6,1h,1
19.0,6,1h,1
27.0,6,1h,1
29.0,6,1h,1
47.0,6,1h,1
0i,6,1h,1
1.0,10,0.0,1
2.0,10,0.0,1
3.0,10,0.0,1
4.0,10,0.0,1
5.0,10,0.0,1
6.0,10,0.0,1
7.0,10,0.0,1
8.0,10,0.0,1
9.0,10,0.0,1
41.0,14,40.0,1
42.0,14,40.0,1
43.0,14,40.0,1
44.0,14,40.0,1
45.0,14,40.0,1
46.0,14,40.0,1
47.0,14,40.0,1
48.0,14,40.0,1
49.0,14,40.0,1
11.0,20,10.0,1
12.0,20,10.0,1
13.0,20,10.0,1
14.0,20,10.0,1
15.0,20,10.0,1
16.0,20,10.0,1
17.0,20,10.0,1
18.0,20,10.0,1
19.0,20,10.0,1
1.0,21,0.0,1
2.0,21,0.0,1
3.0,21,0.0,1
4.0,21,0.0,1
5.0,21,0.0,1
6.0,21,0.0,1
7.0,21,0.0,1
8.0,21,0.0,1
9.0,21,0.0,1
21.0,22,20.0,1
22.0,22,20.0,1
23.0,22,20.0,1
24.0,22,20.0,1
25.0,22,20.0,1
26.0,22,20.0,1
27.0,22,20.0,1
28.0,22,20.0,1
29.0,22,20.0,1
39.0,14,49.0,1
1.0,28,0.0,1
2.0,28,0.0,1
3.0,28,0.0,1
4.0,28,0.0,1
5.0,28,0.0,1
6.0,28,0.0,1
7.0,28,0.0,1
8.0,28,0.0,1
9.0,28,0.0,1
11.0,30,10.0,1
12.0,30,10.0,1
13.0,30,10.0,1
14.0,30,10.0,1
15.0,30,10.0,1
16.0,30,10.0,1
17.0,30,10.0,1
18.0,30,10.0,1
19.0,30,10.0,1
29.0,33,39.0,1
1.0,35,0.0,1
2.0,35,0.0,1
3.0,35,0.0,1
4.0,35,0.0,1
5.0,35,0.0,1
6.0,35,0.0,1
7.0,35,0.0,1
8.0,35,0.0,1
9.0,35,0.0,1
39.0,40,49.0,2
41.0,44,40.0,2
42.0,44,40.0,2
43.0,44,40.0,2
44.0,44,40.0,2
45.0,44,40.0,2
46.0,44,40.0,2
47.0,44,40.0,2
48.0,44,40.0,2
49.0,44,40.0,2
41.0,45,40.0,2
42.0,45,40.0,2
43.0,45,40.0,2
44.0,45,40.0,2
45.0,45,40.0,2
46.0,45,40.0,2
47.0,45,40.0,2
48.0,45,40.0,2
49.0,45,40.0,2
41.0,47,40.0,2
42.0,47,40.0,2
43.0,47,40.0,2
44.0,47,40.0,2
45.0,47,40.0,2
46.0,47,40.0,2
47.0,47,40.0,2
48.0,47,40.0,2
49.0,47,40.0,2
1.0,54,0.0,2
2.0,54,0.0,2
3.0,54,0.0,2
4.0,54,0.0,2
5.0,54,0.0,2
6.0,54,0.0,2
7.0,54,0.0,2
8.0,54,0.0,2
9.0,54,0.0,2
41.0,58,40.0,2
42.0,58,40.0,2
43.0,58,40.0,2
44.0,58,40.0,2
45.0,58,40.0,2
46.0,58,40.0,2
47.0,58,40.0,2
48.0,58,40.0,2
49.0,58,40.0,2
11.0,62,10.0,2
12.0,62,10.0,2
13.0,62,10.0,2
14.0,62,10.0,2
15.0,62,10.0,2
16.0,62,10.0,2
17.0,62,10.0,2
18.0,62,10.0,2
19.0,62,10.0,2
9.0,6,19.0,2
19.0,6,29.0,2
3.0,68,1h,2
19.0,68,1h,2
27.0,68,1h,2
29.0,68,1h,2
47.0,68,1h,2
0i,68,1h,2
19.0,68,29.0,3
1.0,73,0.0,3
2.0,73,0.0,3
3.0,73,0.0,3
4.0,73,0.0,3
5.0,73,0.0,3
6.0,73,0.0,3
7.0,73,0.0,3
8.0,73,0.0,3
9.0,73,0.0,3
1.0,75,0.0,3
2.0,75,0.0,3
3.0,75,0.0,3
4.0,75,0.0,3
5.0,75,0.0,3
6.0,75,0.0,3
7.0,75,0.0,3
8.0,75,0.0,3
9.0,75,0.0,3
6.0,68,0i,3
10.0,68,0i,3
19.0,68,0i,3
21.0,68,0i,3
22.0,68,0i,3
27.0,68,0i,3
35.0,68,0i,3
44.0,68,0i,3
47.0,68,0i,3
1h,68,0i,3
1.0,80,0.0,3
2.0,80,0.0,3
3.0,80,0.0,3
4.0,80,0.0,3
5.0,80,0.0,3
6.0,80,0.0,3
7.0,80,0.0,3
8.0,80,0.0,3
9.0,80,0.0,3
11.0,84,10.0,3
12.0,84,10.0,3
13.0,84,10.0,3
14.0,84,10.0,3
15.0,84,10.0,3
16.0,84,10.0,3
17.0,84,10.0,3
18.0,84,10.0,3
19.0,84,10.0,3
31.0,88,30.0,3
32.0,88,30.0,3
33.0,88,30.0,3
34.0,88,30.0,3
35.0,88,30.0,3
36.0,88,30.0,3
37.0,88,30.0,3
38.0,88,30.0,3
39.0,88,30.0,3
39.0,89,49.0,3
39.0,14,49.0,3
