meme_id,timestep,agent1,agent2
2,1,19.0,9.0
7,1,10.0,11.0
7,1,10.0,12.0
7,1,10.0,13.0
7,1,10.0,14.0
7,1,10.0,15.0
7,1,10.0,16.0
7,1,10.0,17.0
7,1,10.0,18.0
7,1,10.0,19.0
13,1,30.0,31.0
13,1,30.0,32.0
13,1,30.0,33.0
13,1,30.0,34.0
13,1,30.0,35.0
13,1,30.0,36.0
13,1,30.0,37.0
13,1,30.0,38.0
13,1,30.0,39.0
16,1,1l,5.0
16,1,1l,7.0
16,1,1l,16.0
16,1,1l,47.0
16,1,1l,0h
18,1,29.0,19.0
24,1,19.0,9.0
30,1,0h,9.0
30,1,0h,14.0
30,1,0h,19.0
30,1,0h,34.0
30,1,0h,1l
37,1,1l,5.0
37,1,1l,7.0
37,1,1l,16.0
37,1,1l,47.0
37,1,1l,0h
41,1,0h,9.0
41,1,0h,14.0
41,1,0h,19.0
41,1,0h,34.0
41,1,0h,1l
42,1,0h,9.0
42,1,0h,14.0
42,1,0h,19.0
42,1,0h,34.0
42,1,0h,1l
41,1,1l,5.0
41,1,1l,7.0
41,1,1l,16.0
41,1,1l,47.0
41,1,1l,0h
45,2,39.0,29.0
54,2,0.0,1.0
54,2,0.0,2.0
54,2,0.0,3.0
54,2,0.0,4.0
54,2,0.0,5.0
54,2,0.0,6.0
54,2,0.0,7.0
54,2,0.0,8.0
54,2,0.0,9.0
55,2,30.0,31.0
55,2,30.0,32.0
55,2,30.0,33.0
55,2,30.0,34.0
55,2,30.0,35.0
55,2,30.0,36.0
55,2,30.0,37.0
55,2,30.0,38.0
55,2,30.0,39.0
13,2,39.0,29.0
13,2,39.0,29.0
78,2,39.0,29.0
81,2,49.0,39.0
86,3,10.0,11.0
86,3,10.0,12.0
86,3,10.0,13.0
86,3,10.0,14.0
86,3,10.0,15.0
86,3,10.0,16.0
86,3,10.0,17.0
86,3,10.0,18.0
86,3,10.0,19.0
87,3,0h,9.0
87,3,0h,14.0
87,3,0h,19.0
87,3,0h,34.0
87,3,0h,1l
92,3,20.0,21.0
92,3,20.0,22.0
92,3,20.0,23.0
92,3,20.0,24.0
92,3,20.0,25.0
92,3,20.0,26.0
92,3,20.0,27.0
92,3,20.0,28.0
92,3,20.0,29.0
96,3,20.0,21.0
96,3,20.0,22.0
96,3,20.0,23.0
96,3,20.0,24.0
96,3,20.0,25.0
96,3,20.0,26.0
96,3,20.0,27.0
96,3,20.0,28.0
96,3,20.0,29.0
108,3,10.0,11.0
108,3,10.0,12.0
108,3,10.0,13.0
108,3,10.0,14.0
108,3,10.0,15.0
108,3,10.0,16.0
108,3,10.0,17.0
108,3,10.0,18.0
108,3,10.0,19.0
112,3,0.0,1.0
112,3,0.0,2.0
112,3,0.0,3.0
112,3,0.0,4.0
112,3,0.0,5.0
112,3,0.0,6.0
112,3,0.0,7.0
112,3,0.0,8.0
112,3,0.0,9.0
115,4,10.0,11.0
115,4,10.0,12.0
115,4,10.0,13.0
115,4,10.0,14.0
115,4,10.0,15.0
115,4,10.0,16.0
115,4,10.0,17.0
115,4,10.0,18.0
115,4,10.0,19.0
116,4,19.0,9.0
120,4,20.0,21.0
120,4,20.0,22.0
120,4,20.0,23.0
120,4,20.0,24.0
120,4,20.0,25.0
120,4,20.0,26.0
120,4,20.0,27.0
120,4,20.0,28.0
120,4,20.0,29.0
41,4,0h,9.0
41,4,0h,14.0
41,4,0h,19.0
41,4,0h,34.0
41,4,0h,1l
123,4,49.0,39.0
127,4,19.0,9.0
30,4,19.0,9.0
7,4,19.0,9.0
136,4,30.0,31.0
136,4,30.0,32.0
136,4,30.0,33.0
136,4,30.0,34.0
136,4,30.0,35.0
136,4,30.0,36.0
136,4,30.0,37.0
136,4,30.0,38.0
136,4,30.0,39.0
138,4,39.0,29.0
140,4,49.0,39.0
41,4,0h,9.0
41,4,0h,14.0
41,4,0h,19.0
41,4,0h,34.0
41,4,0h,1l
136,5,39.0,29.0
45,5,29.0,19.0
41,5,1l,5.0
41,5,1l,7.0
41,5,1l,16.0
41,5,1l,47.0
41,5,1l,0h
153,5,0h,9.0
153,5,0h,14.0
153,5,0h,19.0
153,5,0h,34.0
153,5,0h,1l
156,5,49.0,39.0
159,5,49.0,39.0
16,5,0h,9.0
16,5,0h,14.0
16,5,0h,19.0
16,5,0h,34.0
16,5,0h,1l
169,5,0.0,1.0
169,5,0.0,2.0
169,5,0.0,3.0
169,5,0.0,4.0
169,5,0.0,5.0
169,5,0.0,6.0
169,5,0.0,7.0
169,5,0.0,8.0
169,5,0.0,9.0
170,5,29.0,19.0
177,6,1l,5.0
177,6,1l,7.0
177,6,1l,16.0
177,6,1l,47.0
177,6,1l,0h
179,6,39.0,29.0
180,6,30.0,31.0
180,6,30.0,32.0
180,6,30.0,33.0
180,6,30.0,34.0
180,6,30.0,35.0
180,6,30.0,36.0
180,6,30.0,37.0
180,6,30.0,38.0
180,6,30.0,39.0
13,6,39.0,29.0
185,6,0.0,1.0
185,6,0.0,2.0
185,6,0.0,3.0
185,6,0.0,4.0
185,6,0.0,5.0
185,6,0.0,6.0
185,6,0.0,7.0
185,6,0.0,8.0
185,6,0.0,9.0
189,6,0h,9.0
189,6,0h,14.0
189,6,0h,19.0
189,6,0h,34.0
189,6,0h,1l
190,6,19.0,9.0
191,6,20.0,21.0
191,6,20.0,22.0
191,6,20.0,23.0
191,6,20.0,24.0
191,6,20.0,25.0
191,6,20.0,26.0
191,6,20.0,27.0
191,6,20.0,28.0
191,6,20.0,29.0
194,6,30.0,31.0
194,6,30.0,32.0
194,6,30.0,33.0
194,6,30.0,34.0
194,6,30.0,35.0
194,6,30.0,36.0
194,6,30.0,37.0
194,6,30.0,38.0
194,6,30.0,39.0
30,6,1l,5.0
30,6,1l,7.0
30,6,1l,16.0
